Französisch,Artikel,Singular,Plural
la location,die,Wohnungsanzeige,die Wohnungsanzeigen
la recherche d'appartement,die,Wohnungssuche,
le boulanger,der,Bäcker,die Bäcker
la banque,die,Bank,die Banken
le fleuriste,der,Blumenladen,die Blumenläden
la réduction,die,Ermäßigung,die Ermäßigungen
le poème,das,Gedicht,die Gedichte
le violon,die,Geige,die Geigen
la capitale,die,Hauptstadt,die Hauptstädte
le kiosque,der,Kiosk,die Kioske
le pub/bistrot,die,Kneipe,die Kneipen
la culture,die,Kultur,
le marchand de fruits,der,Obstladen,die Obstläden
le parquet,das,Parkett,die Parketts/die Parkette
la série/rangée,die,Reihe,die Reihen
le retraité,der,Rentner,die Rentner
la curiosité/attraction,die,Sehenswürdigkeit,die Sehenswürdigkeiten
le château,das,Schloss,die Schlösser
l'écrivain,der,Schriftsteller,die Schriftsteller
l'élève,der,Schüler,die Schüler
la promenade,der,Spaziergang,die Spaziergänge
le théâtre,das,Theater,die Theater
l'œuvre,das,Werk,die Werke
l'aide-soignant,der,Altenpfleger,die Altenpfleger
l'aide-soignante,die,Altenpflegerin,die Altenpflegerinnen
l'employé,der,Angestellte,die Angestellten
le travail,die,Arbeit,die Arbeiten
le lieu de travail,der,Arbeitsplatz,die Arbeitsplätze
la formation,die,Ausbildung,
le renseignement,die,Auskunft,die Auskünfte
le chantier,der,Bau,
le paysan/agriculteur,der,Bauer,die Bauern
la ferme,der,Bauernhof,die Bauernhöfe
le chantier,die,Baustelle,die Baustellen
la profession/métier,der,Beruf,die Berufe
le débutant professionnel,der,Berufsanfänger,die Berufsanfänger
l'expérience professionnelle,die,Berufserfahrung,
l'activité professionnelle,die,Berufstätigkeit,die Berufstätigkeiten
la candidature,die,Bewerbung,die Bewerbungen
l'entretien d'embauche,das,Bewerbungsgespräch,die Bewerbungsgespräche
la comptabilité,die,Buchhaltung,
les connaissances en informatique,die,Computerkenntnisse,
les connaissances en allemand,die,Deutschkenntnisse,
l'interprète (m),der,Dolmetscher,die Dolmetscher
l'interprète (f),die,Dolmetscherin,die Dolmetscherinnen
l'entreprise,die,Firma,die Firmen
la flexibilité,die,Flexibilität,
la langue étrangère,die,Fremdsprache,die Fremdsprachen
le permis de conduire,der,Führerschein,die Führerscheine
la date de naissance,das,Geburtsdatum,die Geburtsdaten
l'histoire,die,Geschichte,die Geschichten
le job/emploi,der,Job,die Jobs
la commerçante,die,Kauffrau,die Kauffrauen
le commerçant,der,Kaufmann,die Kaufmänner/die Kaufleute
le contact client,der,Kundenkontakt,die Kundenkontakte
le curriculum vitae,der,Lebenslauf,die Lebensläufe
le maçon,der,Maurer,die Maurer
la mobilité,die,Mobilität,
la photo d'identité,das,Passfoto,die Passfotos
le stage,das,Praktikum,die Praktika
la qualification,die,Qualifikation,die Qualifikationen
l'avocat,der,Rechtsanwalt,die Rechtsanwälte
l'avocate,die,Rechtsanwältin,die Rechtsanwältinnen
le service posté,der,Schichtdienst,die Schichtdienste
le diplôme scolaire,der,Schulabschluss,die Schulabschlüsse
l'école,die,Schule,die Schulen
l'offre d'emploi,die,Stellenanzeige,die Stellenanzeigen
l'étudiant,der,Student,die Studenten
les études,das,Studium,die Studien
l'esprit d'équipe,die,Teamfähigkeit,
le numéro de téléphone,die,Telefonnummer,die Telefonnummern
le vétérinaire,der,Tierarzt,die Tierärzte
la vétérinaire,die,Tierärztin,die Tierärztinnen
le métier de rêve,der,Traumberuf,die Traumberufe
la Toussaint,das,Allerheiligen,
la mousse de bain,der,Badeschaum,
la coutume,der,Brauch,die Bräuche
le bretzel,die,Brezel,die Brezeln
la robe traditionnelle bavaroise,das,Dirndl,die Dirndl
la fête des moissons,das,Erntefest,die Erntefeste
la célébration,die,Feier,die Feiern
la fête,das,Fest,die Feste
le feu d'artifice,das,Feuerwerk,die Feuerwerke
le cimetière,der,Friedhof,die Friedhöfe
l'anniversaire,der,Geburtstag,die Geburtstage
le fantôme/esprit,der,Geist,die Geister
la vaisselle,das,Geschirr,
le bon d'achat,der,Gutschein,die Gutscheine
Halloween,das,Halloween,
le lièvre,der,Hase,die Hasen
le mariage,die,Hochzeit,die Hochzeiten
le carnaval,der,Karneval,
le costume,das,Kostüm,die Kostüme
la cravate,die,Krawatte,die Krawatten
la boule,die,Kugel,die Kugeln
la citrouille,der,Kürbis,die Kürbisse
le baiser,der,Kuss,die Küsse
le pantalon de cuir bavarois,die,Lederhosen,
le matelas pneumatique,die,Luftmatratze,die Luftmatratzen
le masque,die,Maske,die Masken
la poubelle,der,Mülleimer,die Mülleimer
la fête nationale,der,Nationalfeiertag,die Nationalfeiertage
le nouvel an,das,Neujahr,
la Saint-Nicolas,der,Nikolaustag,
l'Oktoberfest,das,Oktoberfest,
les vacances de Pâques,die,Osterferien,
Pâques,das,Ostern,
le lundi des roses,der,Rosenmontag,
les bijoux,der,Schmuck,
la Saint-Sylvestre,das,Silvester,
la soirée de la Saint-Sylvestre,der,Silvesterabend,die Silvesterabende
le champagne/mousseux,der,Sekt,
l'étable,der,Stall,die Ställe
la sucrerie,die,Süßigkeit,die Süßigkeiten
le sapin,der,Tannenbaum,die Tannenbäume
la casserole,der,Topf,die Töpfe
la Saint-Valentin,der,Valentinstag,
Noël,das,Weihnachten,
le sapin de Noël,der,Weihnachtsbaum,die Weihnachtsbäume
le père Noël,der,Weihnachtsmann,die Weihnachtsmänner
l'agression,die,Aggression,
la peur,die,Angst,die Ängste
l'antipathie,die,Antipathie,
la colère,der,Ärger,
le décorateur/scénographe,der,Bühnenbildner,die Bühnenbildner
la décoratrice/scénographe,die,Bühnenbildnerin,die Bühnenbildnerinnen
le dégoût,der,Ekel,
le chercheur,der,Forscher,die Forscher
la joie,die,Freude,die Freuden
l'amabilité,die,Freundlichkeit,
le sentiment,das,Gefühl,die Gefühle
le visage,das,Gesicht,die Gesichter
le caméraman,der,Kameramann,die Kameramänner
la camérawoman,die,Kamerafrau,die Kamerafrauen
le langage corporel,die,Körpersprache,
l'acteur,der,Schauspieler,die Schauspieler
l'actrice,die,Schauspielerin,die Schauspielerinnen
le sens,der,Sinn,die Sinne
la sympathie,die,Sympathie,
la tristesse,die,Traurigkeit,
la surprise,die,Überraschung,die Überraschungen
le mépris,die,Verachtung,
la science,die,Wissenschaft,die Wissenschaften
le scientifique,der,Wissenschaftler,die Wissenschaftler
la scientifique,die,Wissenschaftlerin,die Wissenschaftlerinnen
la rage/colère,die,Wut,
l'aspirine,das,Aspirin,
l'invention,die,Erfindung,die Erfindungen
la fermeture velcro,der,Klettverschluss,die Klettverschlüsse
la vis,die,Schraube,die Schrauben
le sachet de thé,der,Teebeutel,die Teebeutel
le dentifrice,die,Zahnpasta,
le bâtiment ancien,der,Altbau,die Altbauten
le balcon,der,Balkon,die Balkone/die Balkons
la liaison de bus,die,Busverbindung,die Busverbindungen
les combles/mansarde,das,Dachgeschoss,die Dachgeschosse
la saleté,der,Dreck,
le rez-de-chaussée,das,Erdgeschoss,die Erdgeschosse
le trajet/voyage,die,Fahrt,die Fahrten
la zone piétonne,die,Fußgängerzone,die Fußgängerzonen
le loyer hors charges,die,Kaltmiete,die Kaltmieten
